Nome,Idade,Curso,Ano de Ingresso,Semestre Atual,Média de Notas,Total de Créditos Concluídos,Bolsa de Estudo,Tipo de Alojamento,Participação em Atividades Extracurriculares,Participação em Projetos de Pesquisa,Estágio Atual,Empresa do Estágio,Tempo de Viagem até a Universidade,Satisfação com o Curso
Fernanda Santos,27,Psicologia,2018,7,9.67,55,não,casa,não,não,não,,13,3
Erika Costa,19,Psicologia,2015,9,6.85,48,não,apartamento,não,não,sim,Empresa B,53,4
Daniel Gomes,27,Ciência da Computação,2015,7,5.48,186,não,república,não,sim,não,,34,3
Alice Almeida,26,Medicina,2017,3,0.68,194,sim,república,não,não,não,,35,1
Daniel Santos,26,Engenharia,2018,8,1.78,157,não,república,não,sim,não,,13,5
Helena Santos,18,Medicina,2017,10,1.24,73,sim,república,não,não,sim,Empresa B,42,2
Igor Santos,18,Administração,2017,2,7.4,85,não,casa,não,não,não,,34,4
Igor Silva,25,Ciência da Computação,2020,10,7.29,197,não,moradia estudantil,não,não,não,,54,1
Helena Santos,24,Ciência da Computação,2016,10,1.41,56,não,república,não,sim,não,,32,2
Fernanda Martins,23,Arquitetura,2020,1,8.59,74,não,república,não,não,não,,49,3
Alice Almeida,24,Administração,2019,5,8.44,163,não,apartamento,não,não,não,,20,2
Erika Almeida,18,Direito,2015,6,3.96,133,não,apartamento,não,não,sim,Empresa D,42,2
Helena Pereira,25,Medicina,2018,2,0.28,23,não,apartamento,sim,não,não,,27,3
Bruno Costa,19,Ciência da Computação,2016,1,1.84,136,não,apartamento,não,não,não,,43,5
Helena Almeida,21,Psicologia,2020,3,6.51,54,não,república,não,não,não,,50,1
Gustavo Almeida,28,Arquitetura,2015,4,6.35,34,não,casa,não,sim,não,,16,4
Carla Pereira,25,Engenharia,2016,2,0.95,95,não,república,não,não,sim,Empresa C,48,3
Daniel Ferreira,29,Medicina,2018,8,8.42,139,não,república,não,sim,não,,29,3
Igor Almeida,27,Ciência da Computação,2015,6,3.21,14,sim,casa,não,sim,sim,Empresa A,53,3
Alice Costa,29,Ciência da Computação,2020,4,6.88,72,não,apartamento,não,não,sim,Empresa C,34,3
Gustavo Ferreira,18,Medicina,2020,4,5.66,39,não,moradia estudantil,não,não,não,,14,5
Bruno Ribeiro,27,Direito,2020,8,8.61,126,não,república,sim,não,não,,21,2
Fernanda Santos,27,Engenharia,2017,8,7.23,105,não,apartamento,sim,sim,não,,49,4
Helena Ferreira,21,Medicina,2015,8,9.15,119,não,moradia estudantil,não,não,sim,Empresa C,16,4
Fernanda Silva,27,Administração,2020,3,3.27,97,não,moradia estudantil,não,não,não,,28,2
Bruno Almeida,29,Engenharia,2018,9,1.73,197,não,república,não,sim,não,,53,2
Bruno Martins,22,Administração,2016,10,6.13,6,não,apartamento,não,não,não,,44,1
Igor Pereira,18,Direito,2016,6,7.94,150,não,moradia estudantil,não,não,sim,Empresa B,39,2
Igor Silva,23,Medicina,2020,3,5.56,92,não,moradia estudantil,sim,não,não,,26,5
Erika Ribeiro,22,Engenharia,2019,5,6.54,138,não,apartamento,não,não,sim,Empresa E,23,1
Daniel Pereira,29,Psicologia,2015,3,2.75,58,não,casa,sim,não,não,,37,3
Helena Pereira,19,Direito,2016,8,1.3,192,não,apartamento,sim,não,não,,54,2
Julia Pereira,18,Administração,2017,8,3.82,13,não,casa,sim,não,não,,14,1
Daniel Ferreira,21,Psicologia,2019,4,0.16,113,não,moradia estudantil,não,não,não,,40,5
Igor Silva,30,Ciência da Computação,2015,9,1.15,44,não,casa,não,não,não,,19,3
Daniel Gomes,21,Administração,2015,7,5.75,155,não,casa,não,sim,não,,23,2
Fernanda Martins,21,Direito,2019,8,3.45,151,não,casa,não,sim,não,,57,3
Helena Oliveira,22,Engenharia,2019,1,6.76,196,não,moradia estudantil,não,não,não,,15,1
Helena Martins,26,Ciência da Computação,2019,3,9.5,127,não,república,não,não,não,,49,5
Erika Ribeiro,30,Ciência da Computação,2017,10,5.35,185,não,república,não,não,não,,51,5
Helena Gomes,27,Ciência da Computação,2016,9,3.66,46,não,moradia estudantil,sim,não,não,,22,3
Helena Pereira,28,Arquitetura,2016,8,4.7,73,sim,moradia estudantil,não,não,não,,56,2
Bruno Santos,28,Direito,2016,9,6.43,187,não,moradia estudantil,não,não,não,,40,3
