,ID_Cliente,CPF_CNPJ,Nome,Email,Telefone,Data_Cadastro,Status,CEP
0,9101151711592213264,044.626.183-27,Luiz Otávio Cirino,mvargas@example.com,74956310501,2023-02-25,pendente,23900-109
1,4550253494408649297,41.083.599/0001-73,Dr. Theodoro da Cunha,fernando25@example.org,84927923561,2020-04-26,pendente,92279-255
2,9457019807378513019,54.428.959/0001-25,Jade Silva,pereirajoao-vitor@example.org,92929530940,2023-03-30,inativo,69526-866
3,5488453624057558203,094.650.395-81,Igor Mendonça,raelgoncalves@example.org,67901069077,2023-09-12,ativo,75360-918
4,4930503022238741995,66.063.910/0001-41,José Azevedo,macedovitor-hugo@example.com,77920292997,2023-10-20,pendente,65980-571
5,8034536652962848599,30.263.355/0001-21,Ana da Cruz,julia74@example.net,27930828731,2021-03-11,inativo,48595-270
6,9074015649802572831,495.982.640-92,Dante Rezende,gael-henriqueda-luz@example.org,14904657068,2025-12-18,inativo,86125-167
7,5306909201500259561,345.957.396-19,Dr. Ravy Cardoso,alicenovais@example.net,47903333849,2020-12-19,ativo,43718-310
8,8042733708889583008,69.211.295/0001-62,Benjamim Pastor,da-luzthiago@example.net,34937927278,2020-12-03,ativo,51456-310
9,7136888774749052047,23.362.089/0001-38,Dante Macedo,rebecasantos@example.org,48987965494,2020-04-06,pendente,42179-907
10,8171419694453190687,19.602.620/0001-10,Bernardo Albuquerque,teixeiraana-julia@example.net,92941789627,2025-02-20,ativo,07404-306
11,9741267677047042464,76.939.986/0001-31,Fernanda Silva,carolinacirino@example.net,38969447753,2020-08-12,pendente,86824-580
12,9136982145558380740,588.368.263-65,Dra. Maria Clara Campos,daniela25@example.com,24955110717,2025-02-22,ativo,07353-050
13,6012966459099175909,35.027.104/0001-91,Pietra Rocha,vitor-gabrielmarques@example.com,11976976971,2025-11-30,ativo,52271-863
14,5825905350292367886,88.872.826/0001-25,Dr. Caio Rocha,novaeseduardo@example.net,66957227856,2025-06-29,pendente,34777-006
15,3802721797955545240,34.317.117/0001-78,Sra. Heloísa Pacheco,henry-gabriel36@example.net,73912718382,2021-01-03,inativo,84053-672
16,4616361136361613064,761.720.690-96,Stella Araújo,qpereira@example.com,66911470283,2020-07-07,pendente,98314-151
17,8260687917019518782,271.422.807-23,Maria Flor Souza,palbuquerque@example.net,41946701285,2021-10-30,pendente,75365-073
18,6039811749838131874,342.184.718-92,Dra. Olivia da Mota,machadoraul@example.com,66937202201,2020-06-24,pendente,55421-071
19,6694129514125027575,24.894.057/0001-71,Maya Castro,maria-lizmacedo@example.org,18981134122,2022-08-12,ativo,09184-745
20,3626025019228960752,62.140.407/0001-42,Isadora Barros,luiz-fernando18@example.com,24995879256,2021-11-30,inativo,05399-029
21,4562380831092378490,544.952.787-05,Daniel da Luz,maria-eduardaduarte@example.net,64984517917,2022-10-22,inativo,55412-572
